Date Generated:  2023.07.11 10:10:24 AM
"Questions, comments, or complaints: contact threat-intel@vercara.com"

Query Name,UltraDDR Status
unlock@rsv-box.com,Not Blocked
unlock@support-multi.com,NXDOMAIN
rey14000707@gmail.com,Not Blocked
gagnondani225@gmail.com,Not Blocked
hiperfdhaus.com,Blocked
jirostrogud.com,Blocked
qweastradoc.com,Blocked
connectzoomdownload.com,Blocked
zoom.voyage,NXDOMAIN
guerdofest.com,Blocked
104.194.222.107,NXDOMAIN
100.21.161.34,NXDOMAIN
138.197.152.201,NXDOMAIN
104.200.72.149,NXDOMAIN
146.0.77.141,NXDOMAIN
107.181.161.207,NXDOMAIN
146.0.77.155,NXDOMAIN
141.101.68.154,NXDOMAIN
146.0.77.183,NXDOMAIN
141.101.68.166,NXDOMAIN
148.113.152.144,NXDOMAIN
142.44.212.178,NXDOMAIN
162.244.34.26,NXDOMAIN
143.31.133.99,NXDOMAIN
162.244.35.6,NXDOMAIN
148.113.159.146,NXDOMAIN
179.60.150.143,NXDOMAIN
148.113.159.213,NXDOMAIN
185.104.194.156,NXDOMAIN
15.235.13.184,NXDOMAIN
185.104.194.24,NXDOMAIN
15.235.83.73,NXDOMAIN
185.104.194.40,NXDOMAIN
162.158.129.79,NXDOMAIN
185.117.88.17,NXDOMAIN
166.70.47.90,NXDOMAIN
185.162.128.75,NXDOMAIN
172.71.134.76,NXDOMAIN
185.174.100.215,NXDOMAIN
173.254.236.131,NXDOMAIN
185.174.100.250,NXDOMAIN
185.104.194.134,NXDOMAIN
185.181.229.240,NXDOMAIN
185.117.88.2,NXDOMAIN
185.181.229.73,NXDOMAIN
185.174.100.17,NXDOMAIN
185.183.32.122,NXDOMAIN
185.33.86.225,NXDOMAIN
185.185.50.172,NXDOMAIN
185.33.87.126,NXDOMAIN
188.241.58.244,NXDOMAIN
185.80.52.230,NXDOMAIN
193.169.245.79,NXDOMAIN
185.81.113.156,NXDOMAIN
194.33.40.103,NXDOMAIN
192.42.116.191,NXDOMAIN
194.33.40.104,NXDOMAIN
195.38.8.241,NXDOMAIN
194.33.40.64,NXDOMAIN
198.137.247.10,NXDOMAIN
198.12.76.214,NXDOMAIN
198.199.74.207,NXDOMAIN
198.27.75.110,NXDOMAIN
206.221.182.106,NXDOMAIN
198.245.13.4,NXDOMAIN
209.127.116.122,NXDOMAIN
20.47.120.195,NXDOMAIN
209.127.4.22,NXDOMAIN
208.115.199.25,NXDOMAIN
209.222.103.170,NXDOMAIN
209.222.98.25,NXDOMAIN
209.97.137.33,NXDOMAIN
213.121.182.84,NXDOMAIN
45.227.253.133,NXDOMAIN
216.144.248.20,NXDOMAIN
45.227.253.147,NXDOMAIN
23.237.114.154,NXDOMAIN
45.227.253.50,NXDOMAIN
23.237.56.234,NXDOMAIN
45.227.253.6,NXDOMAIN
3.101.53.11,NXDOMAIN
45.227.253.82,NXDOMAIN
44.206.3.111,NXDOMAIN
45.56.165.248,NXDOMAIN
45.182.189.200,NXDOMAIN
5.149.248.68,NXDOMAIN
45.182.189.228,NXDOMAIN
5.149.250.74,NXDOMAIN
45.182.189.229,NXDOMAIN
5.149.250.92,NXDOMAIN
5.149.250.90,NXDOMAIN
5.188.86.114,NXDOMAIN
5.149.252.51,NXDOMAIN
5.188.86.250,NXDOMAIN
5.188.206.76,NXDOMAIN
5.188.87.194,NXDOMAIN
5.188.87.226,NXDOMAIN
5.34.178.27,NXDOMAIN
5.188.87.27,NXDOMAIN
5.34.178.28,NXDOMAIN
5.252.23.116,NXDOMAIN
5.34.178.30,NXDOMAIN
5.252.25.88,NXDOMAIN
5.34.178.31,NXDOMAIN
5.34.180.205,NXDOMAIN
5.34.180.48,NXDOMAIN
62.112.11.57,NXDOMAIN
50.7.118.90,NXDOMAIN
62.182.82.19,NXDOMAIN
54.184.187.134,NXDOMAIN
62.182.85.234,NXDOMAIN
54.39.133.41,NXDOMAIN
66.85.26.215,NXDOMAIN
63.143.42.242,NXDOMAIN
66.85.26.234,NXDOMAIN
68.156.159.10,NXDOMAIN
66.85.26.248,NXDOMAIN
74.218.67.242,NXDOMAIN
79.141.160.78,NXDOMAIN
76.117.196.3,NXDOMAIN
79.141.160.83,NXDOMAIN
84.234.96.104,NXDOMAIN
79.141.161.82,NXDOMAIN
84.234.96.31,NXDOMAIN
79.141.173.94,NXDOMAIN
89.39.104.118,NXDOMAIN
81.56.49.148,NXDOMAIN
89.39.105.108,NXDOMAIN
82.117.252.141,NXDOMAIN
91.202.4.76,NXDOMAIN
82.117.252.142,NXDOMAIN
91.222.174.95,NXDOMAIN
82.117.252.97,NXDOMAIN
91.229.76.187,NXDOMAIN
88.214.27.100,NXDOMAIN
93.190.142.131,NXDOMAIN
88.214.27.101,NXDOMAIN
91.222.174.68,NXDOMAIN
91.223.227.140,NXDOMAIN
92.118.36.210,NXDOMAIN
92.118.36.213,NXDOMAIN
92.118.36.249,NXDOMAIN
96.10.22.178,NXDOMAIN
96.44.181.131,NXDOMAIN
